"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"1529",16.375,16.4357147216797,16.1471424102783,16.3667850494385,571158000,13.9440851211548
"1530",16.3214282989502,16.5214290618896,16.2321434020996,16.315357208252,417155200,13.9002723693848
"1531",16.3207149505615,16.4028568267822,16.2492866516113,16.2674999237061,319334400,13.8594970703125
"1532",16.396785736084,16.4099998474121,16.0125007629395,16.2007141113281,539484400,13.8025970458984
"1533",16.2110710144043,16.2835712432861,15.7857141494751,15.7971429824829,477117200,13.4587631225586
"1534",15.8589286804199,16.4192867279053,15.793571472168,16.3514289855957,573347600,13.9310026168823
"1535",16.3024997711182,16.6607131958008,16.1635704040527,16.3339290618896,593706400,13.9160957336426
"1536",16.5446434020996,16.7857131958008,16.2185707092285,16.7221431732178,704580800,14.3298721313477
"1537",16.9285717010498,17.1003570556641,16.7232131958008,16.9635715484619,633158400,14.5367622375488
"1538",17.0178565979004,17.3192863464355,16.9017868041992,17.1403560638428,517490400,14.6882600784302
"1539",17.1253566741943,17.2278575897217,16.7049999237061,16.71071434021,609053200,14.3200778961182
"1540",16.686071395874,16.915714263916,16.543571472168,16.6789283752441,475207600,14.2928409576416
"1541",16.5900001525879,16.8442859649658,16.5721435546875,16.6639289855957,355275200,14.2799844741821
"1542",16.7446422576904,16.7914295196533,16.4257144927979,16.4342861175537,391745200,14.0831966400146
"1543",16.4678573608398,16.5260715484619,16.2089290618896,16.4282131195068,435783600,14.0779962539673
"1544",16.3460712432861,16.3460712432861,16.0285701751709,16.0303573608398,476302400,13.7370538711548
"1545",15.9285707473755,16.0417861938477,15.8149995803833,15.9307136535645,447182400,13.6516666412354
"1546",16.0446434020996,16.1285705566406,15.9499998092651,16.1003570556641,330654800,13.7970409393311
"1547",16.2089290618896,16.2542858123779,15.8060712814331,15.8142862319946,372579200,13.5518941879272
"1548",15.8507137298584,16.126428604126,15.6307144165039,16.0346431732178,501499600,13.7407274246216
"1549",16.0153560638428,16.1585712432861,15.7375001907349,15.8774995803833,587350400,13.6060657501221
"1550",15.8589286804199,15.9953565597534,15.7642860412598,15.7642860412598,322515200,13.5090503692627
"1551",15.6428565979004,15.6492862701416,15.3564291000366,15.3739290237427,552448400,13.1745319366455
"1552",15.2785711288452,15.292857170105,14.9642858505249,15.0017862319946,582755600,12.8556280136108
"1553",15.0528573989868,15.5424995422363,15.0267858505249,15.3978567123413,638433600,13.1950397491455
"1554",15.518214225769,15.5446434020996,15.1582136154175,15.2021427154541,460250000,13.027322769165
"1555",15.1607141494751,15.4289293289185,15.0378570556641,15.377857208252,468473600,13.1779012680054
"1556",15.3500003814697,15.5510711669922,15.3074998855591,15.418571472168,391482000,13.2127904891968
"1557",15.3482141494751,15.6789293289185,15.1835708618164,15.6382141113281,474236000,13.4010124206543
"1558",15.5571432113647,15.6742858886719,15.270357131958,15.3010711669922,465911600,13.1121006011963
"1559",15.3017864227295,15.5178565979004,15.1914291381836,15.2982139587402,405549200,13.1096534729004
"1560",15.4582138061523,15.5228567123413,15.3732137680054,15.4464292526245,303875600,13.2366619110107
"1561",15.6403570175171,15.8653573989868,15.6160707473755,15.8450002670288,643960800,13.5782165527344
"1562",15.7660713195801,16.3378562927246,15.7571430206299,16.2757148742676,606197200,13.9473142623901
"1563",16.4107131958008,16.4632148742676,16.0178565979004,16.2317867279053,526775200,13.9096670150757
"1564",16.3364295959473,16.3439292907715,16.0567855834961,16.1457138061523,308660800,13.8359069824219
"1565",16.0792865753174,16.3564281463623,16.0750007629395,16.1689281463623,383255600,13.8557996749878
"1566",16.2350006103516,16.5035705566406,16.1825008392334,16.4967861175537,395105200,14.1367540359497
"1567",16.5960712432861,16.7839298248291,16.4921436309814,16.5564289093018,501135600,14.1878623962402
"1568",16.6228561401367,16.6371421813965,16.4475002288818,16.4692859649658,294294000,14.113187789917
"1569",16.3021430969238,16.3142852783203,16.0974998474121,16.1457138061523,331237200,13.8359069824219
"1570",16.0650005340576,16.1364288330078,15.7721433639526,15.8092861175537,442839600,13.5476093292236
"1571",15.7821426391602,15.8464288711548,15.2764291763306,15.3182144165039,389732000,13.1267862319946
"1572",15.2714290618896,15.6478567123413,15.2285709381104,15.3496427536011,529519200,13.1537199020386
"1573",15.4060707092285,15.6171426773071,15.3682136535645,15.4282140731812,363216000,13.2210550308228
"1574",15.4914293289185,15.5357141494751,15.1875,15.2757139205933,358447600,13.0903692245483
"1575",15.1607141494751,15.1767864227295,14.9885711669922,15.1142864227295,383695200,12.952036857605
"1576",15.1732139587402,15.2678565979004,15.0889291763306,15.2217855453491,300829200,13.0441570281982
"1577",15.2271432876587,15.3035707473755,15.0982141494751,15.249285697937,306614000,13.0677213668823
"1578",15.28928565979,15.6092863082886,15.2146425247192,15.560357093811,375928000,13.3342924118042
"1579",15.4899997711182,15.6424999237061,15.3999996185303,15.5117864608765,328364400,13.292667388916
"1580",15.5053567886353,15.5053567886353,15.3246431350708,15.3500003814697,238613200,13.1540298461914
"1581",15.25,15.2817859649658,14.9839286804199,14.9946432113647,317520000,12.8495073318481
"1582",15.0560712814331,15.2360706329346,15.020357131958,15.2228574752808,305771200,13.0450773239136
"1583",15.0096426010132,15.0214290618896,14.2182140350342,14.3857135772705,945056000,12.3276948928833
"1584",14.4639291763306,14.4925003051758,13.919285774231,14.0017862319946,666299200,11.9986906051636
"1585",13.856071472168,14.2714290618896,13.7535705566406,13.9475002288818,609274400,11.9521703720093
"1586",14.0228567123413,14.3642864227295,13.9739294052124,14.2382135391235,429920400,12.2012939453125
"1587",14.4282140731812,14.585000038147,14.2432136535645,14.5046434402466,664238400,12.4296083450317
"1588",14.0550003051758,14.8303565979004,14.0178565979004,14.4807138442993,969651200,12.4091014862061
"1589",14.686785697937,14.7835712432861,14.5357141494751,14.585000038147,384837600,12.4984693527222
"1590",14.6360712051392,14.9560708999634,14.5803565979004,14.8999996185303,764097600,12.7684049606323
"1591",15.0160713195801,15.4864292144775,15,15.3614292144775,640326400,13.1638231277466
"1592",15.53928565979,15.9017858505249,15.4310712814331,15.8135709762573,691538400,13.5512800216675
"1593",15.873571395874,15.8903570175171,15.5139293670654,15.688928604126,506909200,13.44446849823
"1594",15.7778568267822,16.0210704803467,15.7367858886719,15.9114294052124,421828400,13.6351442337036
